Treatment,Condition,Increment,Column,pH,om_pct,K_ppm,Ca_ppm,Mg_ppm,Na_ppm,Fe_ppm,Al_ppm,Ni_ppm,NO3_ppm,NH4_ppm,cec_meq100g,TC_pct,tot_K_ppm,tot_Ca_ppm,tot_Mg_ppm,tot_Al_ppm,tot_Na_ppm,tot_Fe_ppm,tot_Ni_ppm,alk_meqKg
UTC,Basalt,20,R1,7.4,3.8,98,2981,525,39,21.81,0.3,1.2,5,2.3,19.7,1.6,1710,5268,4906,16560,98,22230,24.2,0.030693000000000005
UTC,Basalt,20,R2,7.4,3.4,97,3013,520,34,25.31,0.3,1.2,5,2.3,19.8,1.7,1623,5029,4689,15610,95,21400,23.1,0.05721999999999999
UTC,Basalt,20,R3,7.4,3.6,102,3032,535,39,21.79,0.2,1.3,5,2.1,20,1.6,1631,5109,4850,15840,80,21560,23.3,0.12030749999999998
UTC,Basalt,20,R4,7.4,3.5,101,2994,527,36,22.85,0.3,1.3,7,2,19.8,1.7,1535,5071,4565,14760,95,20760,22.6,0.146217
UTC,Basalt,20,R5,7.5,3.5,88,2946,510,42,22.45,0.3,1.1,4,2,19.4,1.5,1514,5093,4815,15490,108,21970,23.7,0.12859199999999998
UTC,Basalt,20,R6,7.4,3.8,94,2976,513,38,20.57,0.2,1.2,2,2,19.6,1.6,1456,4850,4519,14590,106,20290,21.7,0.12874499999999997
MP1,Basalt,20,R1,7.4,3.5,86,2878,496,36,22.06,0.2,1.2,3,1.7,18.9,1.7,1518,4953,4584,14870,96,20600,22.1,0.140342
MP1,Basalt,20,R2,7.4,3.7,103,3029,519,42,22.4,0.2,1.3,2,2.3,19.9,1.7,1461,4811,4200,14100,76,19550,22.1,0.151245
MP1,Basalt,20,R3,7.5,3.7,104,3047,528,35,21.65,0.2,1.3,4,2.4,20.1,1.7,1671,5200,4726,15730,114,21200,24.1,0.17429999999999998
MP1,Basalt,20,R4,7.4,3.8,95,2937,510,41,21.07,0.2,1.3,4,2.1,19.4,1.7,1496,4847,4449,14380,102,19910,23,0.1550295
MP1,Basalt,20,R5,7.5,3.7,92,2943,508,39,21.67,0.2,1.2,2,2.1,19.4,1.7,1626,5027,4600,15150,106,20540,22.6,0.16090449999999995
MP1,Basalt,20,R6,7.5,3.7,94,3015,520,38,20.75,0.3,1.2,4,2.1,19.8,1.7,1540,4823,4480,14640,106,19940,22.1,0.16384199999999993
UTC,NB,30,R1,7.1,3.8,86,2683,502,38,38.8,0.2,2,1,3.9,18,1.7,1707,4981,4477,15900,82,21350,24.5,0.06520500000000001
UTC,NB,30,R2,7.1,4,90,2731,523,43,29.97,0.2,1.4,3,2.2,18.4,1.8,1630,4469,4157,14980,77,20100,23.4,0.044663999999999995
UTC,NB,30,R3,6.9,3.8,99,2832,536,45,29.46,0.2,1.4,5,2.3,19.1,1.6,1727,4699,4429,15910,86,20510,24.3,0.0418375
UTC,NB,30,R4,7,4,93,2705,507,41,32.56,2.4,1.3,2,2.3,18.2,1.7,1775,5497,4516,16190,123,21070,25.3,0.048087500000000005
UTC,NB,30,R5,6.9,3.7,96,2884,549,48,27.12,0.3,1.4,2,2.4,19.4,1.7,1652,4658,4359,15490,85,20120,23.6,0.032220000000000006
UTC,NB,30,R6,7,3.7,96,2819,536,46,29.17,0.3,1.3,3,2.5,19,1.6,1614,4646,4371,15310,82,19950,23.4,0.04567799999999999
MP1,NB,30,R1,7,3.8,97,2709,523,43,36.33,0.7,2.2,2,3,18.3,1.6,1675,4695,4382,15730,82,20660,24.6,0.054886000000000004
MP1,NB,30,R2,7,3.9,93,2700,506,42,31.01,1,1.5,2,2.3,18.1,1.8,1594,4636,4612,15170,75,20370,23.9,0.0828785
MP1,NB,30,R3,6.9,3.6,90,2713,524,45,33.32,0.3,1.4,2,2.1,18.4,1.6,1484,4275,4251,14200,71,18970,22,0.065275
MP1,NB,30,R4,7.1,4,92,2812,540,49,25.61,0.2,1.4,2,2.2,19,1.7,1568,4500,4156,14570,73,19560,23.7,0.072705
MP1,NB,30,R5,7.1,3.7,90,2828,531,44,26.71,0.4,1.4,2,2.3,19,1.6,1534,4453,4163,14740,73,19820,23.8,0.108885
MP1,NB,30,R6,6.9,3.8,88,2805,526,41,26.4,0.9,1.5,2,2.7,18.8,1.7,1484,4335,4029,14300,73,19150,22.9,0.12593249999999998
UTC,Basalt,30,R1,7.4,3.8,100,2987,531,50,24.64,1.2,1.2,6,2.2,19.8,1.7,1564,4991,4281,14960,118,20450,22.8,0.030693000000000005
UTC,Basalt,30,R2,7.5,3.7,96,3052,531,49,26.68,1.2,1,5,2,20.1,1.6,1378,4680,4224,18480,108,21410,23.8,0.05721999999999999
UTC,Basalt,30,R3,7.5,3.8,95,3047,528,51,22.27,0.3,1.2,8,1.9,20.1,1.7,1544,5463,4700,14920,121,20840,23.7,0.12030749999999998
UTC,Basalt,30,R4,7.5,3.8,105,2971,514,52,23.87,0.3,1.3,8,2.7,19.6,1.8,1546,5523,4679,14830,133,20940,23.7,0.146217
UTC,Basalt,30,R5,7.5,3.6,101,2962,527,47,26.56,0.3,1.1,5,2,19.7,1.6,1365,4746,4380,13790,109,19780,22.4,0.12859199999999998
UTC,Basalt,30,R6,7.4,3.9,88,2905,504,52,21.55,0.2,1.2,2,1.9,19.2,1.6,1433,4768,4372,14150,105,19970,22,0.12874499999999997
MP1,Basalt,30,R1,7.4,3.8,107,3104,540,45,22.07,0.2,1.3,7,1.9,20.5,1.6,1362,4885,4312,13400,95,19920,22.9,0.140342
MP1,Basalt,30,R2,7.3,3.8,100,3008,517,45,29.51,0.3,1.2,1,2,19.8,1.7,1385,5124,4572,14070,95,20940,23.9,0.151245
MP1,Basalt,30,R3,7.5,3.7,95,3077,530,52,23.09,0.2,1.2,7,2,20.3,1.7,1338,5024,4415,13620,106,20350,22.4,0.17429999999999998
MP1,Basalt,30,R4,7.5,3.8,94,3097,532,48,24.72,0.2,1.2,6,2,20.4,1.6,1309,5083,4323,13450,95,20130,22.6,0.1550295
MP1,Basalt,30,R5,7.5,3.9,104,2863,511,43,24.36,0.2,1.1,3,2.4,19,1.6,1323,5027,4451,13350,110,20000,21.5,0.16090449999999995
MP1,Basalt,30,R6,7.5,3.9,103,3027,536,55,24.4,0.4,1.2,4,2.3,20.1,1.7,1339,4867,4388,13350,94,20180,22.2,0.16384199999999993
